@RELATION teste

@ATTRIBUTE A0	REAL
@ATTRIBUTE A1	REAL


@DATA
0.0621,0
0.005,0
0.1316,0
0.1568,0
0.0085,0
0.157,0
0.1179,0.18
0.141,0
0.1165,0
0.1451,0
0.0891,0
0.0492,0
0.116,0.1663
0.1573,0
0.0966,0
0.1172,0
0.0817,0
0.1193,0
0.0881,0
0.1891,0
0.1106,0
0.0548,0
0.1182,0
0.133,0.1325
0.1114,0
0.0859,0.665
0.0038,0
0.0888,0
0.0647,0
0.1156,0
0.1606,0.1263
0.1885,0
0.0918,0
0.064,0
0.1235,0.3988
0.1267,0
0.0902,0
0.0723,0
0.0695,0
0.0686,0
0.0918,0
0.1711,0
0.1067,0
0.1479,0.9313
0.1066,0.1663
0.0677,0
0.1862,0
0.1682,0
0.1214,0
0.0571,0
0.0986,0
0.1255,0
0.1745,0
0.0956,0.3775
0.1299,0
0.1633,0
0.0867,0
0.1871,0
0.1624,0.1325
0.072,0.2663
0.1326,0
0.1629,0
0.1018,0
0.1588,0
0.0823,0
0.082,0
0.0686,0
0.0809,0.1325
0.2063,0.525
0.0719,0
0.1251,0
0.1229,0
0.0757,0.8238
0.0554,0
0.1202,0
0.0646,0.2663
0.0889,0
0.0951,0
0.0837,0
0.1082,0
0.1305,0
0.0969,0
0.1233,0
0.1351,0.3925
0.0985,0
0.1671,0
0.0639,0
0.1315,0
0.0957,0
0.0724,0
0.0939,0
0.134,0
0.0771,0
0.204,0
0.1538,0
0.098,0.8113
0.0917,0
0.1152,0
0.172,0
0.0752,0
0.0802,0
0.2221,0
0.1048,0
0.1398,0
0.1742,0
0.0588,0
0.088,0
0.1008,0
0.0924,0
0.1916,1.2325
0.1348,0
0.129,0
0.153,0
0.0941,0
0.1222,0
0.0758,0.3988
0.1365,0.665
0.1439,0
0.198,0
0.1467,0
0.0878,0.2613
0.0525,0
0.0813,0.8913
0.1008,0
0.0806,0
0.1336,0
0.0368,0
0.0739,0
0.1006,0
0.0752,0
0.0892,0
0.1069,3.7025
0.1284,0.46
0.033,2.0375
0.1114,3.6225
0.0538,0
0.1389,0.2925
0.1963,0
0.1599,0.9337
0.0815,0.2613
0.1373,0
0.1596,0.7538
0.0767,0.1313
0.1289,0
0.1839,0
0.0799,0.1263
0.1672,0
0.0756,0.4588
0.1163,0.1313
0.0544,0
0.1649,1.2125
0.1367,0
0.2288,2.0925
0.1879,0
0.1372,1.575
0.2293,0
0.1079,0
0.116,0.555
0.0806,0
0.0811,0
0.1303,0
0.2089,0.6325
0.0895,0
0.1012,0
0.1388,0
0.0988,1.6312
0.1114,6.215
0.0084,0
0.1783,1.2175
0.2001,0
0.1231,0
0.1076,0
0.2079,0
0.1232,0.2
0.1706,0
0.1081,0.425
0.0823,0.425
0.1557,0
0.1689,0
0.1566,0
0.1429,0
0.1959,8.1962
0.1195,0.9988
0.1802,0
0.1117,0
0.089,1.0025
0.0725,0
0.0952,0
0.0654,2.9187
0.1446,0
0.1541,0.2988
0.121,0.1313
0.1326,0
0.1295,0
0.0862,0.3775
0.1266,1.585
0.0904,0
0.239,0
0.1428,3.135
0.0881,0
0.2751,0.1313
0.1152,0.5588
0.0895,0.335
0.1394,0.1675
0.1053,0
0.1613,0
0.1467,0
0.1086,0.2925
0.1191,0
0.1098,0
0.1752,0
0.1155,0
0.1974,0
0.0877,1.3438
0.0581,0
0.1188,2.8625
0,0
0.0778,2.8075
0.1093,2.1363
0.077,0
0.1995,0.4925
0.1513,0
0.1207,3.02
0.0837,1.1775
0.0782,0.3925
0.0314,1.0825
0.1042,1.4625
0.1833,0.7813
0.1174,1.015
0.1139,2.83
0.1092,0.1263
0.1083,4.2063
0.0836,0.6912
0.1039,1.4325
0.15,3.9263
0.1091,0.9075
0.1445,3.4375
0.0949,3.425
0.0026,0
0.1149,3.4225
0.0746,5.2825
0.0862,4.54
0.1181,6.7288
0.082,4.3313
0.0961,5.9213
0.0338,3.16
0.1194,10.1638
0.0036,0
0.0455,0
0.0999,0
0.1294,0
0.1453,0
0.1155,0
0.084,0
0.0856,0.2925
0.1054,0
0.0863,0
0.1196,0
0.1173,0
0.0973,0
0.1174,0
0.1557,0
0.0984,0
0.0982,0
0.1583,0
0.1123,0
0.0514,0
0.1151,0
0.1376,0
0.1259,0
0.0986,0
0.1001,0
0.1767,0
0.0546,0
0.1721,0
0.1421,0
0.069,0
0.0399,0
0.0804,0
0.1794,0
0.1718,0.1663
0.1877,0
0.1031,0
0.1105,0
0.1103,0
0.084,0
0.134,0
0.114,0
0.0906,0
0.1444,0
0.0533,0
0.1272,0
0.1252,0
0.1027,0
0.1283,0.1313
0.1289,0
0.0743,0
0.0929,0.1313
0.1747,0
0.0745,0.2925
0.1821,0
0.1347,0.1313
0.1178,0
0.1125,0
0.1429,0
0.1334,0.2613
0.1019,0
0.108,0
0.1638,0
0.0995,0
0.0593,0
0.0883,0.5838
0.122,0.2512
0.0909,0
0.1748,0.1325
0.0077,0
0.1168,0
0.1098,0
0.0989,0
0.17,0
0.0399,0
0.0472,0
0.118,0
0.0887,0
0.071,0
0.1164,0
0.1014,0
0.166,0.3325
0.0892,0
0.1643,0
0.1966,0
0.1123,0
0.1241,0
0.0868,0
0.0741,0.1313
0.0808,0
0.0705,0
0.2004,0
0.2128,0.1663
0.0581,0
0.1457,0
0.1279,0
0.1151,0
0.1299,0
0.041,0
0.0618,0.1313
0.1158,0
0.0734,0
0.0961,0
0.1321,0
0.0693,0
0.127,0
0.0402,0
0.1069,0
0.071,0
0.073,0
0.1179,0
0.0805,0
0.0891,0
0.1099,0
0.1302,0
0.0967,0
0.1074,0
0.0838,0
0.1807,0
0.1845,0
0.0977,0
0.0533,0
0.1368,0.5962
0.0705,0
0.0673,0
0.1142,0
0.2038,0
0.1843,0
0.0811,0
0.0831,0
0.129,0
0.1119,0
0.1168,0
0.093,0
0.1492,0
0.0867,0
0.1756,0
0.1776,0
0.1843,0
0.1747,0.2663
0.1723,0
0.14,0
0.106,0.1325
0.137,0
0.1821,0
0.1203,0
0.1064,0
0.097,0
0.0705,0
0.1193,0
0.0649,0
0.114,0
0.2041,0
0.1729,0.2663
0.084,0
0.1669,0
0.0842,0
0.1727,0.1325
0.1084,0
0.0058,0
0.1047,0
0.1809,0
0.1737,0
0.2141,0
0.1296,0
0.1465,0
0.161,0
0.1799,0
0.1878,0
0.1258,0
0.1263,0
0.1922,0
0.1146,0
0.1598,0
0.2257,0.1325
0.1469,0.2512
0.1375,0.1325
0.2194,0
0.165,0.1313
0.1882,0
0.1186,0.2663
0.1271,0
0.1726,0
0.1227,0
0.0941,0
0.1551,0
0.0849,0
0.1551,0
0.2302,0.1325
0.1956,0
0.159,0
0.1745,0
0.2989,0.1325
0.1862,0
0.2371,0
0.2795,0.1313
0.1808,0
0.1967,0
0.1763,0
0.325,0
0.0871,0
0.1353,0
0.1338,0
0.1398,0
0.1825,0
0.1415,0
0.1452,0
0.1746,0
0.1953,0
0.0945,0
0.1068,0
0.1123,0
0.1199,0
0.209,0
0.0944,0
0.0676,0
0.2525,0
0.1293,0
0.212,0
0.1434,0
0.153,0
0.1725,0
0.2444,0.1663
0.2423,0
0.1715,0
0.1927,0
0.159,0
0.0772,0
0.1052,0
0.1085,0
0.0835,0
0.1383,0
0.0887,0
0.148,0
0.0697,0
0.1274,0
0.0656,0
0.0485,0
0.1057,0
0.1095,0
0.2596,0
0.0957,0
0.0782,0
0.1383,0
0.0905,0
0.1248,0
0.1355,0
0.0545,0
0.1007,0
0.1392,0
0.1553,0
0.111,0
0.1273,0
0.0938,0.1313
0.0113,0
0.0748,0
0.1328,0
0.0882,0
0.0652,0
0.099,0
0.1667,0
0.16,0
0.163,0
0.1061,0.2588
0.1023,0
0.1069,0
0.1004,0
0.2149,0
0.1238,0
0.0115,0
0.2081,0
0.1197,0
0.136,0
0.1935,0.1325
0.0903,0
0.1842,0
0.1439,0
0.1137,0
0.1052,0
0.0646,0
0.1832,0
0.1654,0
0.1711,0
0.0621,0
0.0713,0
0.0962,0
0.1205,0
0.0806,0
0.144,0
0.0895,0
0.1215,0
0.0997,0
0.0757,0
0.0727,0
0.1291,0.1313
0.1785,0
0.1704,0
0.1526,0
0.1352,0
0.118,0
0.096,0
0.0436,0
0.1242,0
0.1583,0
0.1063,0
0.1608,0
0.1235,0
0.1308,0
0.1743,0.1313
0.1876,0
0.1514,0
0.1743,0.1313
0.1215,0
0.1415,0
0.2254,0
0.0582,0
0.1237,0.3988
0.1193,0
0.3237,0
0.0813,0
0.1373,0
0.1267,0
0.0872,0
0.0803,0
0.0048,0
0.1468,0
0.1308,0
0.0929,0.2613
0.0538,0
0.06,0
0.1173,0
0.1648,0.4263
0.1409,0
0.1907,0.1313
0.194,0
0.0845,0
0.1823,0
0.1451,0
0.1913,0
0.2265,0
0.1304,0
0.1153,0
0.1216,0
0.2335,0
0.2033,0.2613
0.1789,0
0.1292,0.2613
0.1804,0.2613
0.2103,0
0.0201,0
0.1159,0
0.0536,0.5
0.137,0
0.18,0
0.1718,0.2663
0.2615,0.1313
0.1387,0
0.0831,0.1313
0.1483,0.1313
0.1805,0
0.0927,0
0.3156,0
0.1568,0.2613
0.1818,0.2588
0.1381,0.1313
0.2838,0
0.2149,0
0.094,0
0.1377,0
0.2659,0.2613
0.243,0
0.18,0.2613
0.2196,0.1313
0.2511,0.5238
0.1483,0
0.2284,0.5325
0.1419,0
0.0527,0
0.114,0
0.114,0
0.1327,0
0.1824,0
0.2826,0
0.0766,0
0.0951,0
0.1505,0
0.1793,0
0.1398,0.1325
0.0968,0
0.2381,0
0.0668,0
0.1915,0
0.1826,0
0.1434,0
0.0876,0
0.106,0
0.0579,0
0.209,0
0.2366,0
0.1028,0
0.107,0
0.1283,0
0.1246,0.1325
0.1394,0
0.0611,0
0.0833,0
0.1722,0
0.1266,0
0.1439,0
0.0503,0
0.0576,0
0.1444,0
0.0686,0.2663
0.2571,0
0.2166,0
0.2058,0
0.1176,0
0.1376,0.1325
0.1662,0
0.2605,0
0.1175,0
0.0936,0
0.0706,0
0.1629,0
0.1213,0
0.1433,0
0.2337,0
0.0942,0.1325
0.1306,0
0.1409,0
0.1028,0
0.0884,0
0.0102,0
0.0687,0
0.1117,0
0.2161,0
0.1946,0.1663
0.1221,0
0.1433,0
0.1153,0
0.1071,0
0.0791,0.1663
0.1667,0
0.0273,0
0.1538,0
0.1517,0
0.2267,0
0.1137,0
0.1632,0
0.1786,0
0.1483,0
0.1025,0.2663
0.1176,0
0.4852,0
0.1305,0
0.2013,0
0.0785,0
0.1499,0
0.1036,0
0.226,0
0.1525,0
0.1485,0.1313
0.1046,0
0.1648,0
0.2074,0
0.1232,0
0.2268,0
0.0648,0
0.2125,0
0.0989,0
0.1249,0
0.1787,0
0.0332,0
0.1624,0
0.1164,0
0.1401,0
0.0983,0
0.1628,0
0.2014,0.2663
0.082,0
0.2294,0
0.1117,0
0.1588,0
0.1547,0
0.1743,0.1313
0.0115,0
0.2155,0
0.0492,0
0.2083,0
0.1468,0
0.1013,0
0.2288,0
0.1224,0
0.1079,0
0.1558,0
0.0192,0
0.244,0
0.3205,0
0.2003,0
0.0599,0
0.1346,0
0.1906,0
0.1252,0
0.0689,0
0.1071,0
0.1128,0
0.1395,0
0.1947,0
0.1519,0
0.1559,0
0.1955,0
0.1391,0
0.0996,0
0.2068,0
0.2185,0
